Topic,Name,Type,Url,External ID,Description
,GIT | LR | Getting started 1,Web Resource,https://drive.google.com/drive/u/0/folders/1L9Sl0-Rg7O_zfv93OupLTwZSLwtRU3Ec,GIT | LR | Getting started 1,Hashmap Resource
,GIT | LR | Getting started 2,Web Resource,https://git-scm.com/book/en/v2/Getting-Started-About-Version-Control,GIT | LR | Getting started 2,GIT Resource
,GIT | LR | Pull Requests,Web Resource,"https://yangsu.github.io/pull-request-tutorial/#:~:text=Pull%20requests%20let%20you%20tell,follow%2Dup%20commits%20if%20necessary.",GIT | LR | Pull Requests,
,Databricks: GITHUB,Web Resource,https://docs.microsoft.com/en-us/azure/databricks/notebooks/github-version-control,Databricks: GITHUB,
,Databricks: Perform ETL,Web Resource,https://docs.microsoft.com/en-us/azure/databricks/scenarios/databricks-extract-load-sql-data-warehouse,Databricks: Perform ETL,
,,,,,
LINUX FUNDAMENTALS,,,,,
,Linux | LR | Connecting to remote host using SSH,Web Resource,https://phoenixnap.com/kb/ssh-to-connect-to-remote-server-linux-or-windows,Linux | LR | Connecting to remote host using SSH,Phoenixnap
,Linux | LR | File Inodes,Web Resource,https://www.grymoire.com/Unix/Inodes.html,Linux | LR | File Inodes,Grymoire
,"Linux | LR | File sharing between two hosts - scp, rsync",Web Resource,https://stackoverflow.com/questions/20244585/how-does-scp-differ-from-rsync,"Linux | LR | File sharing between two hosts - scp, rsync",Linuxize
,Linux | LR | File types,Web Resource,https://en.wikipedia.org/wiki/Unix_file_types,Linux | LR | File types,Wikipedia
,Linux | LR | Mounting file systems,Web Resource,https://www.youtube.com/watch?v=HbgzrKJvDRw,Linux | LR | Mounting file systems,YouTube
,Linux | LR | Package managers,Web Resource,https://opensource.com/article/18/7/evolution-package-managers,Linux | LR | Package managers,Opensource
,Linux | LR | Setting up Static IP,Web Resource,https://linuxize.com/post/how-to-configure-static-ip-address-on-ubuntu-18-04/,Linux | LR | Setting up Static IP,Linuxize
,Linux | LR |All about commands,Web Resource,https://www.guru99.com/managing-processes-in-linux.html,Linux | LR |All about commands,guru99
,Linux | LR |All about Linux,Web Resource,https://linuxacademy.com/cp/modules/view/id/346,Linux | LR |All about Linux,Linux Academy
,Linux | LR |How to boot Linux,Web Resource,https://www.youtube.com/watch?v=yeMA7AJFtb8,Linux | LR |How to boot Linux,YouTube
,Linux | LR |Process state,Web Resource,https://en.wikipedia.org/wiki/Process_state,Linux | LR |Process state,Wikipedia
